# G(2) Function
# 2025-11-20 17:23:44
# Histogram Width = 10 ns
# Events Ch. 0 = 2.178e+07 
# Events Ch. 1 = 2.286e+07 
# Integr. Time = 46.9 s
# G(2) Norm = 106.2 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-9.3450635E-009 ;  9.7024500E-001
-9.3352884E-009 ;  1.0550230E+000
-9.3255132E-009 ;  1.1021230E+000
-9.3157380E-009 ;  8.9488600E-001
-9.3059629E-009 ;  9.7024500E-001
-9.2961877E-009 ;  8.6662600E-001
-9.2864125E-009 ;  8.4778700E-001
-9.2766373E-009 ;  9.7966500E-001
-9.2668622E-009 ;  9.3256500E-001
-9.2570870E-009 ;  1.0738630E+000
-9.2473118E-009 ;  8.8546600E-001
-9.2375367E-009 ;  9.3256500E-001
-9.2277615E-009 ;  9.6082500E-001
-9.2179863E-009 ;  1.0927030E+000
-9.2082111E-009 ;  1.0738630E+000
-9.1984360E-009 ;  9.3256500E-001
-9.1886608E-009 ;  1.0079240E+000
-9.1788856E-009 ;  9.7024500E-001
-9.1691105E-009 ;  1.0927030E+000
-9.1593353E-009 ;  8.7604600E-001
-9.1495601E-009 ;  1.1209620E+000
-9.1397849E-009 ;  9.9850400E-001
-9.1300098E-009 ;  9.9850400E-001
-9.1202346E-009 ;  7.9126700E-001
-9.1104594E-009 ;  1.0644430E+000
-9.1006843E-009 ;  8.6662600E-001
-9.0909091E-009 ;  8.7604600E-001
-9.0811339E-009 ;  1.0079240E+000
-9.0713587E-009 ;  1.1021230E+000
-9.0615836E-009 ;  9.7024500E-001
-9.0518084E-009 ;  1.0456040E+000
-9.0420332E-009 ;  1.1115420E+000
-9.0322581E-009 ;  1.0927030E+000
-9.0224829E-009 ;  1.0079240E+000
-9.0127077E-009 ;  8.0068700E-001
-9.0029326E-009 ;  9.2314500E-001
-8.9931574E-009 ;  9.7966500E-001
-8.9833822E-009 ;  9.9850400E-001
-8.9736070E-009 ;  9.9850400E-001
-8.9638319E-009 ;  9.8908400E-001
-8.9540567E-009 ;  9.8908400E-001
-8.9442815E-009 ;  1.0832830E+000
-8.9345064E-009 ;  1.2057410E+000
-8.9247312E-009 ;  8.7604600E-001
-8.9149560E-009 ;  1.1115420E+000
-8.9051808E-009 ;  7.9126700E-001
-8.8954057E-009 ;  9.0430600E-001
-8.8856305E-009 ;  9.5140500E-001
-8.8758553E-009 ;  1.0832830E+000
-8.8660802E-009 ;  9.0430600E-001
-8.8563050E-009 ;  9.8908400E-001
-8.8465298E-009 ;  1.2151610E+000
-8.8367546E-009 ;  8.7604600E-001
-8.8269795E-009 ;  1.3093590E+000
-8.8172043E-009 ;  1.0079240E+000
-8.8074291E-009 ;  1.0173440E+000
-8.7976540E-009 ;  1.0550230E+000
-8.7878788E-009 ;  1.0456040E+000
