# G(2) Function
# 2025-11-20 16:08:26
# Histogram Width = 10 ns
# Events Ch. 0 = 8.97e+07 
# Events Ch. 1 = 8.287e+07 
# Integr. Time = 00:02:46 h
# G(2) Norm = 445.7 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-8.6999022E-009 ;  1.0028770E+000
-8.6901271E-009 ;  1.0118520E+000
-8.6803519E-009 ;  9.5351900E-001
-8.6705767E-009 ;  1.0185820E+000
-8.6608016E-009 ;  9.5351900E-001
-8.6510264E-009 ;  9.7595400E-001
-8.6412512E-009 ;  9.9390300E-001
-8.6314761E-009 ;  9.2883900E-001
-8.6217009E-009 ;  1.0096080E+000
-8.6119257E-009 ;  1.0656970E+000
-8.6021505E-009 ;  1.0140950E+000
-8.5923754E-009 ;  1.0230690E+000
-8.5826002E-009 ;  9.3781400E-001
-8.5728250E-009 ;  9.1089100E-001
-8.5630499E-009 ;  9.7595400E-001
-8.5532747E-009 ;  1.0208260E+000
-8.5434995E-009 ;  9.7595400E-001
-8.5337243E-009 ;  9.6922400E-001
-8.5239492E-009 ;  9.2883900E-001
-8.5141740E-009 ;  9.5800600E-001
-8.5043988E-009 ;  9.6473700E-001
-8.4946237E-009 ;  1.0477490E+000
-8.4848485E-009 ;  9.4230100E-001
-8.4750733E-009 ;  9.8492900E-001
-8.4652981E-009 ;  9.1986500E-001
-8.4555230E-009 ;  1.0275570E+000
-8.4457478E-009 ;  8.8396800E-001
-8.4359726E-009 ;  1.0432620E+000
-8.4261975E-009 ;  1.0881330E+000
-8.4164223E-009 ;  9.3557000E-001
-8.4066471E-009 ;  9.1537800E-001
-8.3968719E-009 ;  1.0140950E+000
-8.3870968E-009 ;  8.9742900E-001
-8.3773216E-009 ;  9.8717200E-001
-8.3675464E-009 ;  9.0864700E-001
-8.3577713E-009 ;  1.0589670E+000
-8.3479961E-009 ;  1.0051210E+000
-8.3382209E-009 ;  9.9165900E-001
